"";"dfBloco0";"dfBlocoI";"dfBlocoII";"dfBlocoIII"
"ID_TP_EXPECTATIVA_ATUACAO";NA;"ID_TP_EXPECTATIVA_ATUACAO";"ID_TP_EXPECTATIVA_ATUACAO";"ID_TP_EXPECTATIVA_ATUACAO"
"NM_EXPECTATIVA_ATUACAO";NA;"NM_EXPECTATIVA_ATUACAO";"NM_EXPECTATIVA_ATUACAO";"NM_EXPECTATIVA_ATUACAO"
"ID_PESSOA_DISCENTE";NA;"ID_PESSOA_DISCENTE";"ID_PESSOA_DISCENTE";"ID_PESSOA_DISCENTE"
"DT_MATRICULA";NA;"DT_MATRICULA";"DT_MATRICULA";"DT_MATRICULA"
"ID_GRAU_ACADEMICO";NA;"ID_GRAU_ACADEMICO";"ID_GRAU_ACADEMICO";"ID_GRAU_ACADEMICO"
"DS_CATEGORIA_ORIENTADOR";NA;"DS_CATEGORIA_ORIENTADOR";"DS_CATEGORIA_ORIENTADOR";"DS_CATEGORIA_ORIENTADOR"
"NM_CATEGORIA_DOCENTE";NA;"NM_CATEGORIA_DOCENTE";"NM_CATEGORIA_DOCENTE";"NM_CATEGORIA_DOCENTE"
"NM_UF_IES";NA;"NM_UF_IES";"NM_UF_IES";"NM_UF_IES"
"CD_SUBAREA_CONHECIMENTO";NA;"CD_SUBAREA_CONHECIMENTO";"CD_SUBAREA_CONHECIMENTO";"CD_SUBAREA_CONHECIMENTO"
"NM_SUBAREA_CONHECIMENTO";NA;"NM_SUBAREA_CONHECIMENTO";"NM_SUBAREA_CONHECIMENTO";"NM_SUBAREA_CONHECIMENTO"
"CD_ESPECIALIDADE";NA;"CD_ESPECIALIDADE";"CD_ESPECIALIDADE";"CD_ESPECIALIDADE"
"NM_ESPECIALIDADE";NA;"NM_ESPECIALIDADE";"NM_ESPECIALIDADE";"NM_ESPECIALIDADE"
"ID_PESSOA_ORIENTADOR";NA;"ID_PESSOA_ORIENTADOR";"ID_PESSOA_ORIENTADOR";"ID_PESSOA_ORIENTADOR"
"IN_TCC_COM_VINCULO_PRODUCAO";NA;NA;"IN_TCC_COM_VINCULO_PRODUCAO";"IN_TCC_COM_VINCULO_PRODUCAO"
"ID_ADD_PRODUCAO_VINCULO_CT";NA;NA;"ID_ADD_PRODUCAO_VINCULO_CT";"ID_ADD_PRODUCAO_VINCULO_CT"
"CD_ENTIDADE_CAPES";NA;NA;NA;"CD_ENTIDADE_CAPES"
